Location;cat¨¦gorie socioprofessionnelle;Femmes;Hommes;Ensemble
?le-de-France;Cadres*;4.153;5.249;4.823
?le-de-France;Professions interm¨¦diaires;2.439;2.680;2.566
?le-de-France;Employ¨¦s;1.818;1.854;1.833
?le-de-France;Ouvriers;1.579;1.870;1.823
?le-de-France;Ensemble;2.708;3.267;3.034
France;Cadres*;3.683;4.511;4.214
France;Professions interm¨¦diaires;2.180;2.500;2.353
France;Employ¨¦s;1.655;1.762;1.690
France;Ouvriers;1.555;1.821;1.774
France;Ensemble;2.118;2.547;2.369
