Annee;Diplôme;Numéro de l'établissement;Établissement;Établissement actuel;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;Taux d'emploi;Taux d'emploi salarié en France;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2012;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;12;48;5;ns;;;ns;ns;ns;ns;ns;9;9;2020;ns;ns;ns;1580;2530;Paris 2 - Panthéon Assas_30;disc05_30;GBpkg
2012;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;35;63;12;82;;;ns;ns;ns;ns;ns;9;9;2020;ns;ns;65;1580;2530;Paris 2 - Panthéon Assas_18;disc10_18;GBpkg
2012;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;121;61;63;86;;;68;57;81;1600;25000;26;9;2020;51;17;83;1580;2530;Paris 3 - Sorbonne Nouvelle_18;disc06_18;8k883
2012;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;39;74;20;90;;;60;54;89;1630;25500;26;9;2020;45;17;76;1580;2530;Paris 3 - Sorbonne Nouvelle_30;disc10_30;8k883
2012;MASTER ENS;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;125;57;100;98;;;98;92;95;1700;26500;31;9;2020;95;6;93;1580;2530;Paris 4 - Sorbonne_18;disc18_18;kvciR
2012;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;103;61;33;81;;;78;63;83;1700;26500;18;9;2020;61;36;82;1580;2530;Paris 4 - Sorbonne_18;disc06_18;kvciR
2012;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;43;69;15;93;;;80;63;92;1970;30700;18;9;2020;65;30;62;1580;2530;Paris 4 - Sorbonne_30;disc08_30;kvciR
2012;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;125;52;42;84;;;94;70;96;1990;31000;18;9;2020;81;14;71;1580;2530;Paris 4 - Sorbonne_18;disc10_18;kvciR
2012;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;65;66;20;92;;;90;90;97;2320;36100;16;9;2020;75;10;60;1580;2530;Paris René Descartes_30;disc01_30;O2v0H
2012;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;32;70;10;94;;;90;97;97;ns;ns;16;9;2020;73;6;56;1580;2530;Paris René Descartes_30;disc04_30;O2v0H
2012;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;13;70;4;ns;;;ns;ns;ns;ns;ns;16;9;2020;ns;ns;ns;1580;2530;Paris René Descartes_30;disc06_30;O2v0H
2012;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;89;66;27;91;;;96;76;98;2250;35000;16;9;2020;80;17;47;1580;2530;Paris René Descartes_18;disc12_18;O2v0H
2012;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;51;65;16;90;;;96;83;93;2510;39200;16;9;2020;84;19;43;1580;2530;Paris René Descartes_30;disc17_30;O2v0H
2012;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;51;65;16;94;;;94;78;96;2380;37200;16;9;2020;77;19;43;1580;2530;Paris René Descartes_18;disc17_18;O2v0H
2012;MASTER LMD;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;23;50;9;ns;;;ns;ns;ns;ns;ns;22;9;2020;ns;ns;ns;1580;2530;Paris Pierre et Marie Curie_30;disc05_30;3RMeh
2012;MASTER LMD;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;23;50;9;ns;;;ns;ns;ns;ns;ns;22;9;2020;ns;ns;ns;1580;2530;Paris Pierre et Marie Curie_18;disc05_18;3RMeh
2012;MASTER LMD;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;277;58;91;84;;;94;70;96;2080;32500;22;9;2020;82;27;41;1580;2530;Paris Pierre et Marie Curie_18;disc12_18;3RMeh
2012;MASTER LMD;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;89;58;29;80;;;86;37;96;1840;28700;22;9;2020;64;39;65;1580;2530;Paris Pierre et Marie Curie_18;disc13_18;3RMeh
2012;MASTER LMD;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;52;60;17;87;;;98;93;100;2290;35700;22;9;2020;91;28;46;1580;2530;Paris Pierre et Marie Curie_30;disc14_30;3RMeh
2011;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;101;68;12;86;;;86;50;97;1820;28400;19;8.6;1990;60;33;73;;;Paris 1 - Panthéon Sorbonne_30;disc11_30;6G2TU
2011;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;27;56;4;ns;;;ns;ns;ns;ns;ns;19;8.6;1990;ns;ns;ns;;;Paris 1 - Panthéon Sorbonne_30;disc12_30;6G2TU
2011;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;11;73;2;ns;;;ns;ns;ns;ns;ns;19;8.6;1990;ns;ns;ns;;;Paris 1 - Panthéon Sorbonne_30;disc14_30;6G2TU
2011;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);21;40;10;ns;;;ns;ns;ns;ns;ns;13;8.6;1990;ns;ns;ns;;;Paris 2 - Panthéon Assas_30;disc03_30;GBpkg
2011;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);14;74;6;ns;;;ns;ns;ns;ns;ns;13;8.6;1990;ns;ns;ns;;;Paris 2 - Panthéon Assas_30;disc05_30;GBpkg
