Annee;Diplôme;Numéro de l'établissement;Établissement;Établissement actuel;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;Taux d'emploi;Taux d'emploi salarié en France;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2017;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;112;61;57;92;;;72;58;83;1500;23400;33;7.1;2120;46;35;89;1620;2620;Paris 3 - Sorbonne Nouvelle_18;disc06_18;8k883
2017;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;112;61;57;91;;;80;66;87;1800;28100;33;7.1;2120;57;35;89;1620;2620;Paris 3 - Sorbonne Nouvelle_30;disc06_30;8k883
2017;MASTER ENS;0755890V;Sorbonne Université;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;128;53;100;99;;;98;97;95;1820;28300;16;7.1;2120;96;6;86;1620;2620;Sorbonne Université_30;disc18_30;bxPQe
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;10;62;1;ns;;;ns;ns;ns;ns;ns;26;7.1;2120;ns;ns;ns;1620;2620;Sorbonne Université_30;disc01_30;bxPQe
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;78;64;11;99;;;93;89;99;2400;37400;26;7.1;2120;93;15;9;1620;2620;Sorbonne Université_18;disc16_18;bxPQe
2017;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;67;62;10;96;;;100;79;100;2340;36500;26;7.1;2120;98;8;32;1620;2620;Sorbonne Université_18;disc17_18;bxPQe
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;97;59;15;97;;;98;89;99;2400;37400;27;7.1;2120;89;10;58;1620;2620;Université de Paris_30;disc01_30;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;246;68;33;98;;;97;81;98;2440;38100;27;7.1;2120;89;16;46;1620;2620;Université de Paris_30;disc12_30;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;101;71;13;90;;;99;52;97;2120;33100;27;7.1;2120;91;26;68;1620;2620;Université de Paris_18;disc13_18;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;101;71;13;99;;;97;70;96;2390;37300;27;7.1;2120;90;26;68;1620;2620;Université de Paris_30;disc13_30;5cZyU
2017;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;37;70;6;100;;;100;100;100;2370;37000;27;7.1;2120;97;5;10;1620;2620;Université de Paris_18;disc16_18;5cZyU
2018;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;138;79;13;88;;;93;56;98;2370;37000;23;7.7;2170;81;32;57;1650;2700;Paris 1 - Panthéon Sorbonne_18;disc03_18;6G2TU
2018;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;288;83;26;84;;;88;49;88;1850;28900;23;7.7;2170;60;29;70;1650;2700;Paris 1 - Panthéon Sorbonne_18;disc07_18;6G2TU
2018;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;152;71;56;86;;;81;71;85;1750;27300;28;7.7;2170;49;23;80;1650;2700;Paris 3 - Sorbonne Nouvelle_30;disc06_30;8k883
2018;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;88;73;33;87;;;84;46;79;1700;26500;28;7.7;2170;37;11;84;1650;2700;Paris 3 - Sorbonne Nouvelle_18;disc10_18;8k883
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;93;47;15;89;;;92;78;94;2280;35500;26;7.7;2170;78;14;78;1650;2700;Sorbonne Université_30;disc10_30;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;93;47;15;88;;;95;66;96;2090;32700;26;7.7;2170;82;14;78;1650;2700;Sorbonne Université_18;disc10_18;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;17;44;3;ns;;;ns;ns;ns;ns;ns;26;7.7;2170;ns;ns;ns;1650;2700;Sorbonne Université_18;disc11_18;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;483;74;58;91;;;97;75;95;2310;36000;26;7.7;2170;88;24;40;1650;2700;Sorbonne Université_18;disc12_18;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;101;65;12;89;;;97;77;100;2440;38100;26;7.7;2170;87;20;45;1650;2700;Sorbonne Université_18;disc14_18;bxPQe
2018;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;83;77;10;91;;;98;73;95;2300;35900;26;7.7;2170;94;14;28;1650;2700;Sorbonne Université_18;disc17_18;bxPQe
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;39;56;6;92;;;100;76;100;ns;ns;24;7.7;2170;90;9;66;1650;2700;Université de Paris_18;disc04_18;5cZyU
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;148;63;20;94;;;99;67;72;1890;29500;24;7.7;2170;97;16;88;1650;2700;Université de Paris_30;disc09_30;5cZyU
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;;148;63;20;95;;;96;56;62;1820;28300;24;7.7;2170;89;16;88;1650;2700;Université de Paris_18;disc09_18;5cZyU
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;131;68;17;90;;;96;66;91;2090;32600;24;7.7;2170;75;26;76;1650;2700;Université de Paris_30;disc11_30;5cZyU
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;79;63;11;87;;;100;65;97;2250;35100;24;7.7;2170;92;31;55;1650;2700;Université de Paris_30;disc13_30;5cZyU
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;31;67;4;97;;;100;93;100;ns;ns;24;7.7;2170;100;3;9;1650;2700;Université de Paris_30;disc16_30;5cZyU
2018;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;31;67;4;97;;;100;96;100;ns;ns;24;7.7;2170;100;3;9;1650;2700;Université de Paris_18;disc16_18;5cZyU
2019;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;752;75;70;89;;;95;68;97;2280;35600;23;7.1;2240;82;20;59;1640;2790;Paris 1 - Panthéon Sorbonne_18;disc01_18;6G2TU
2019;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;224;78;21;87;;;91;63;93;2300;35900;23;7.1;2240;72;24;54;1640;2790;Paris 1 - Panthéon Sorbonne_18;disc03_18;6G2TU
2019;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;214;74;20;92;;;97;81;99;2400;37400;23;7.1;2240;88;13;54;1640;2790;Paris 1 - Panthéon Sorbonne_18;disc04_18;6G2TU
2019;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;33;66;4;88;;;ns;ns;ns;ns;ns;23;7.1;2240;ns;18;27;1640;2790;Paris 1 - Panthéon Sorbonne_18;disc12_18;6G2TU
2019;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;33;66;4;97;;;97;100;97;ns;ns;23;7.1;2240;93;18;27;1640;2790;Paris 1 - Panthéon Sorbonne_30;disc12_30;6G2TU
2019;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;59;59;21;97;;;98;91;100;2700;42100;12;7.1;2240;91;20;43;1640;2790;Paris 2 - Panthéon Assas_30;disc03_30;TWBzp
2019;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;67;58;25;94;;;98;74;96;2500;39000;12;7.1;2240;92;19;58;1640;2790;Paris 2 - Panthéon Assas_18;disc04_18;TWBzp
2019;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;24;65;9;ns;;;ns;ns;ns;ns;ns;12;7.1;2240;ns;ns;ns;1640;2790;Paris 2 - Panthéon Assas_18;disc05_18;TWBzp
2019;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;96;58;47;83;;;84;47;92;1750;27300;31;7.1;2240;61;22;84;1640;2790;Paris 3 - Sorbonne Nouvelle_18;disc07_18;8k883
2019;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;71;53;35;84;;;86;48;89;1750;27300;31;7.1;2240;63;27;88;1640;2790;Paris 3 - Sorbonne Nouvelle_18;disc10_18;8k883
2019;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;25;71;12;ns;;;ns;ns;ns;ns;ns;31;7.1;2240;ns;ns;ns;1640;2790;Paris 3 - Sorbonne Nouvelle_18;disc11_18;8k883
2019;MASTER LMD;0755890V;Sorbonne Université;;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;35;71;6;81;;;ns;ns;ns;ns;ns;23;7.1;2240;ns;22;64;1640;2790;Sorbonne Université_18;disc11_18;bxPQe
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;102;63;15;94;;;97;78;98;2380;37200;25;7.1;2240;91;12;60;1640;2790;Université de Paris_18;disc01_18;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;11;60;2;ns;;;ns;ns;ns;ns;ns;25;7.1;2240;ns;ns;ns;1640;2790;Université de Paris_30;disc03_30;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;96;57;16;87;;;87;72;84;1930;30100;25;7.1;2240;68;25;84;1640;2790;Université de Paris_30;disc06_30;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;245;64;37;85;;;94;58;74;1800;28100;25;7.1;2240;80;21;78;1640;2790;Université de Paris_18;disc07_18;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;245;64;37;92;;;97;64;80;1930;30100;25;7.1;2240;85;21;78;1640;2790;Université de Paris_30;disc07_30;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;;17;62;3;ns;;;ns;ns;ns;ns;ns;25;7.1;2240;ns;ns;ns;1640;2790;Université de Paris_18;disc08_18;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;;143;65;22;87;;;96;59;67;1800;28100;25;7.1;2240;90;19;85;1640;2790;Université de Paris_18;disc09_18;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;88;66;13;86;;;94;51;96;2090;32600;25;7.1;2240;80;36;70;1640;2790;Université de Paris_18;disc13_18;5cZyU
2019;MASTER LMD;0755976N;Université de Paris;;A01;Paris;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;45;55;8;82;;;94;67;93;2220;34600;25;7.1;2240;77;18;43;1640;2790;Université de Paris_18;disc17_18;5cZyU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;9;50;1;ns;;;ns;ns;ns;ns;ns;21;8.8;2070;ns;ns;ns;1630;2580;Paris 1 - Panthéon Sorbonne_18;disc12_18;6G2TU
2013;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;6;47;1;ns;;;ns;ns;ns;ns;ns;21;8.8;2070;ns;ns;ns;1630;2580;Paris 1 - Panthéon Sorbonne_30;disc14_30;6G2TU
2013;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;15;53;8;ns;;;ns;ns;ns;ns;ns;10;8.8;2070;ns;ns;ns;1630;2580;Paris 2 - Panthéon Assas_18;disc05_18;GBpkg
2013;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;35;75;12;83;;;ns;ns;ns;ns;ns;10;8.8;2070;ns;ns;57;1630;2580;Paris 2 - Panthéon Assas_30;disc07_30;GBpkg
2013;MASTER ENS;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;92;55;100;99;;;97;100;98;1700;26500;;8.8;2070;95;8;91;1630;2580;Paris 4 - Sorbonne_18;disc18_18;kvciR
2013;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;128;60;44;92;;;83;72;96;2000;31200;17;8.8;2070;77;13;76;1630;2580;Paris 4 - Sorbonne_18;disc10_18;kvciR
2013;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;22;73;8;ns;;;ns;ns;ns;ns;ns;17;8.8;2070;ns;ns;ns;1630;2580;Paris 4 - Sorbonne_18;disc11_18;kvciR
2013;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;39;60;11;87;;;97;76;91;ns;ns;20;8.8;2070;87;9;63;1630;2580;Paris René Descartes_30;disc02_30;O2v0H
2013;MASTER LMD;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;50;48;25;92;;;89;83;91;1880;29400;26;8.8;2070;66;20;76;1630;2580;Paris 7 - Denis Diderot_30;disc06_30;5KpJ9
2013;MASTER LMD;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;88;56;37;80;;;79;54;73;1650;25700;26;8.8;2070;61;28;75;1630;2580;Paris 7 - Denis Diderot_18;disc07_18;5KpJ9
2013;MASTER LMD;0751723R;Paris 7 - Denis Diderot;Université Paris Cité;A01;Paris;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;39;52;16;87;;;97;65;68;ns;ns;26;8.8;2070;88;55;84;1630;2580;Paris 7 - Denis Diderot_30;disc09_30;5KpJ9
2014;MASTER ENS;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;14;73;;;;;;;;;;21;8.3;2050;;;;1610;2560;Paris 1 - Panthéon Sorbonne_30;disc18_30;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;152;71;17;88;;;93;61;97;2220;34700;18;8.3;2050;82;20;60;1610;2560;Paris 1 - Panthéon Sorbonne_18;disc02_18;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;84;75;10;83;;;85;48;98;2000;31100;18;8.3;2050;66;14;71;1610;2560;Paris 1 - Panthéon Sorbonne_18;disc05_18;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;84;75;10;90;;;92;58;99;2170;33800;18;8.3;2050;75;14;71;1610;2560;Paris 1 - Panthéon Sorbonne_30;disc05_30;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;116;75;12;80;;;59;54;82;1500;23400;18;8.3;2050;37;28;69;1610;2560;Paris 1 - Panthéon Sorbonne_18;disc06_18;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;199;74;21;86;;;81;53;91;1800;28100;18;8.3;2050;59;30;68;1610;2560;Paris 1 - Panthéon Sorbonne_30;disc07_30;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;9;53;1;ns;;;ns;ns;ns;ns;ns;18;8.3;2050;ns;ns;ns;1610;2560;Paris 1 - Panthéon Sorbonne_18;disc10_18;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;10;48;2;ns;;;ns;ns;ns;ns;ns;18;8.3;2050;ns;ns;ns;1610;2560;Paris 1 - Panthéon Sorbonne_18;disc12_18;6G2TU
2014;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;6;60;1;ns;;;ns;ns;ns;ns;ns;18;8.3;2050;ns;ns;ns;1610;2560;Paris 1 - Panthéon Sorbonne_30;disc16_30;6G2TU
2014;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;35;61;14;94;;;88;64;94;ns;ns;10;8.3;2050;72;21;61;1610;2560;Paris 2 - Panthéon Assas_30;disc07_30;GBpkg
2014;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;34;60;13;94;;;88;63;94;ns;ns;10;8.3;2050;71;21;63;1610;2560;Paris 2 - Panthéon Assas_30;disc10_30;GBpkg
2014;MASTER LMD;0751718K;Paris 2 - Panthéon Assas;Université Paris-Panthéon-Assas;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;1;100;0;ns;;;ns;ns;ns;ns;ns;10;8.3;2050;ns;ns;ns;1610;2560;Paris 2 - Panthéon Assas_30;disc11_30;GBpkg
2014;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;98;72;39;75;;;71;44;83;1600;25000;26;8.3;2050;48;32;78;1610;2560;Paris 3 - Sorbonne Nouvelle_18;disc07_18;8k883
2014;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;98;72;39;88;;;74;50;88;1770;27500;26;8.3;2050;52;32;78;1610;2560;Paris 3 - Sorbonne Nouvelle_30;disc07_30;8k883
2014;MASTER LMD;0751719L;Paris 3 - Sorbonne Nouvelle;;A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;59;79;23;90;;;74;53;85;1770;27600;26;8.3;2050;50;22;78;1610;2560;Paris 3 - Sorbonne Nouvelle_30;disc10_30;8k883
2014;MASTER ENS;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);48;47;100;100;;;93;96;100;1710;26600;23;8.3;2050;88;4;95;1610;2560;Paris 4 - Sorbonne_18;disc18_18;kvciR
2014;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;114;66;33;90;;;70;71;84;1830;28500;28;8.3;2050;48;29;83;1610;2560;Paris 4 - Sorbonne_30;disc06_30;kvciR
2014;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;227;66;67;93;;;89;74;94;2160;33800;28;8.3;2050;77;18;77;1610;2560;Paris 4 - Sorbonne_30;disc07_30;kvciR
2014;MASTER LMD;0751720M;Paris 4 - Sorbonne;Sorbonne Université (Sorbonne U);A01;Paris;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;160;64;47;90;;;93;68;95;2000;31200;28;8.3;2050;80;16;79;1610;2560;Paris 4 - Sorbonne_18;disc10_18;kvciR
2014;MASTER ENS;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;6;70;;;;;;;;;;17;8.3;2050;;;;1610;2560;Paris René Descartes_18;disc18_18;O2v0H
2014;MASTER ENS;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;6;70;;;;;;;;;;17;8.3;2050;;;;1610;2560;Paris René Descartes_30;disc18_30;O2v0H
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;11;42;3;ns;;;ns;ns;ns;ns;ns;21;8.3;2050;ns;ns;ns;1610;2560;Paris René Descartes_30;disc03_30;O2v0H
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;12;58;4;ns;;;ns;ns;ns;ns;ns;21;8.3;2050;ns;ns;ns;1610;2560;Paris René Descartes_30;disc06_30;O2v0H
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;;101;74;26;86;;;83;51;62;1570;24500;21;8.3;2050;71;20;89;1610;2560;Paris René Descartes_18;disc09_18;O2v0H
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;82;66;21;93;;;79;64;86;1800;28100;21;8.3;2050;61;26;78;1610;2560;Paris René Descartes_30;disc11_30;O2v0H
2014;MASTER LMD;0751721N;Paris René Descartes;Université Paris Cité;A01;Paris;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;5;50;2;ns;;;ns;ns;ns;ns;ns;21;8.3;2050;ns;ns;ns;1610;2560;Paris René Descartes_30;disc16_30;O2v0H
2014;MASTER ENS;0751722P;Paris Pierre et Marie Curie;Sorbonne Université (Sorbonne U);A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;14;68;;;;;;;;;;50;8.3;2050;;;;1610;2560;Paris Pierre et Marie Curie_18;disc18_18;3RMeh
